Sample Barcode,Sample Label,Freezer Name,Rack Name,Box Name,Filter Type (Conditional)
eSG_L01_21w_0190,eSG_L01_21w_0190,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/22/23,Supor
eSG_L01_21w_0191,eSG_L01_21w_0191,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/22/23,Supor
eSG_L01_21w_0196,eSG_L01_21w_0196,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/22/23,Supor
eSG_L01_21w_0200,eSG_L01_21w_0200,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/22/23,Supor
eSG_L01_21w_0201,eSG_L01_21w_0201,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/22/23,Supor
eSG_L01_21w_0203,eSG_L01_21w_0203,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/22/23,Supor
eSG_L01_21w_0210,eSG_L01_21w_0210,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/22/23,Supor
eSG_L01_21w_0211,eSG_L01_21w_0211,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/22/23,Supor
eSG_L01_21w_0216,eSG_L01_21w_0216,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/22/23,Supor
eSG_L01_21w_0221,eSG_L01_21w_0221,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/22/23,Supor
eSG_L01_21w_0226,eSG_L01_21w_0226,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/22/23,Supor
eSG_L01_21w_0230,eSG_L01_21w_0230,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/22/23,Supor
eSG_L01_21w_0231,eSG_L01_21w_0231,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/22/23,Supor
eSG_L01_22w_0002,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0005,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0009,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0010,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0014,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0015,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0018,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0019,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0020,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0023,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0024,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0025,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0027,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0029,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0030,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0032,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0035,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0039,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0040,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0044,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0045,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0049,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0050,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0054,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0055,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0059,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0060,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_3,Supor2_4/12/23,Supor
eSG_L01_22w_0062,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0065,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0069,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0070,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0074,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0075,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0079,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0080,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0084,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0085,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0089,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0090,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0092,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0095,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0099,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0100,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0104,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0105,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0109,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0110,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0114,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0115,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0119,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0120,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0122,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_4/12/23,Supor
eSG_L01_22w_0124,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/27/23,Supor
eSG_L01_22w_0127,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/27/23,Supor
eSG_L01_22w_0131,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/27/23,Supor
eSG_L01_22w_0132,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/27/23,Supor
eSG_L01_22w_0136,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/27/23,Supor
eSG_L01_22w_0137,eSG_L01,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_2/27/23,Supor
eSG_L01_22w_0154,,Maine-eDNA (Hitchner),Supor_Rack_3,Supor_4/17/23,Supor
eSG_L01_22w_0157,,Maine-eDNA (Hitchner),Supor_Rack_3,Supor_4/17/23,Supor
eSG_L01_22w_0161,,Maine-eDNA (Hitchner),Supor_Rack_3,Supor_4/17/23,Supor
eSG_L01_22w_0162,,Maine-eDNA (Hitchner),Supor_Rack_3,Supor_4/17/23,Supor
eSG_L01_22w_0166,,Maine-eDNA (Hitchner),Supor_Rack_3,Supor_4/17/23,Supor
eSG_L01_22w_0167,,Maine-eDNA (Hitchner),Supor_Rack_3,Supor_4/17/23,Supor
eSG_L01_22w_0171,,Maine-eDNA (Hitchner),Supor_Rack_3,Supor_4/17/23,Supor
eSG_L01_22w_0172,,Maine-eDNA (Hitchner),Supor_Rack_3,Supor_4/17/23,Supor
eSG_L01_22w_0176,,Maine-eDNA (Hitchner),Supor_Rack_3,Supor_4/17/23,Supor
eSG_L01_22w_0177,,Maine-eDNA (Hitchner),Supor_Rack_3,Supor_4/17/23,Supor
eSG_L01_22w_0181,,Maine-eDNA (Hitchner),Supor_Rack_3,Supor_4/17/23,Supor
eSG_L01_22w_0182,,Maine-eDNA (Hitchner),Supor_Rack_3,Supor_4/17/23,Supor
